date,time,lat,lon,depth,ML,nstn,dmin,gap,trms,ERH,ERZ,fixed,nph,quality
2023-07-09,7:52:52,21.891,121.6175,20.51,4.39,98,12.7,140,0.42,0.2,0.2,F,102,C
2023-07-09,8:16:34,21.8703,121.7033,23.89,4.59,99,19,153,0.53,0.3,0.2,F,191,D
2023-07-09,22:11:34,24.0522,121.5135,20.06,5.32,99,9.8,29,0.3,0.1,0.1,F,349,B
2023-07-10,15:02:51,24.8613,122.3247,117.61,4.17,99,37,152,0.37,0.2,0.2,F,311,C
2023-07-11,17:55:10,23.9373,122.495,30.15,4.61,99,27.3,159,0.47,0.3,0.3,F,336,C
2023-07-12,23:41:42,22.9867,121.9235,37.19,4.32,99,57.6,145,0.45,0.3,0.3,F,320,D
2023-07-14,2:09:28,23.4922,121.3063,13.36,4.53,99,2.6,56,0.39,0.1,0.1,F,288,B
2023-07-14,2:39:14,24.7802,121.9653,92.21,4.22,99,7.2,101,0.26,0.2,0.2,F,275,B
2023-07-14,11:53:18,23.985,122.4412,25.99,4.43,99,19.7,143,0.43,0.2,0.1,F,287,C
2023-07-15,7:50:51,23.4622,121.3167,14.17,4.19,99,4.6,66,0.42,0.2,0.2,F,254,B
2023-07-16,22:22:28,24.9613,122.2612,139.79,4.28,99,27.3,148,0.28,0.4,0.3,F,250,C
2023-07-18,8:29:40,23.8827,121.4535,21.08,4.23,99,7.9,44,0.34,0.1,0.1,F,277,B
2023-07-19,19:14:30,24.1222,122.5108,43.57,4.3,99,19.7,139,0.39,0.2,0.1,F,329,C
2023-07-27,2:42:55,22.6123,121.3473,25.09,4.19,99,14.2,56,0.34,0.1,0.1,F,213,B
2023-07-28,13:17:54,24.7208,121.8887,77.73,4.61,99,12.8,73,0.29,0.2,0.1,F,286,B
2023-07-29,20:08:55,21.3007,121.86,178.57,4,85,42.9,273,0.34,0.4,0.2,F,157,D
2023-07-30,14:13:26,24.0807,122.2243,21.31,4.03,99,10.4,143,0.27,0.2,0.2,F,201,C
2023-07-30,16:44:35,25.3398,121.9712,12.86,4.23,99,28.9,112,0.31,0.2,0.3,F,165,C
2023-07-31,16:38:56,23.9232,121.6292,48.34,4.47,99,3.5,79,0.32,0.2,0.1,F,314,B
2023-08-04,12:22:13,21.8388,121.6413,20.29,5,99,19,152,0.41,0.3,0.2,F,211,C
2023-08-04,12:25:17,21.8367,121.6402,21.43,5.04,99,19.2,150,0.37,0.2,0.1,F,200,C
2023-08-04,12:28:19,21.8325,121.6862,25.12,4.25,77,21.5,155,0.47,0.2,0.2,F,116,C
2023-08-04,12:52:04,21.804,121.569,9.99,4.49,99,21.9,175,0.36,0.9,1.1,F,164,C
2023-08-05,3:22:34,21.79,121.6897,24.8,4.8,99,25.8,162,0.53,0.1,0.2,F,191,D
2023-08-05,12:21:46,21.3438,120.2188,78.33,4.37,99,56,231,0.41,0.3,0.2,F,211,D
2023-08-06,5:12:41,24.5885,121.8005,64.76,4.6,99,4.6,58,0.26,0.2,0.2,F,291,B
2023-08-07,4:50:46,22.6768,121.8125,27.28,4.4,99,35.1,113,0.42,0.2,0.3,F,289,C
2023-08-08,0:05:18,21.5603,121.0703,26.63,4.45,99,43.8,162,0.35,0.7,0.4,F,166,C
